type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss
buy,0.9973045822102904,5.0,ok,240,1.81792238 ETH,1709002234270056960,1709002234270056961,0.0
sell,0.9973045822102904,0.001,ok,241,1.81692238 ETH,1709002240267911680,1709002240267911681,0.0
sell,0.9973045822102904,0.001,ok,242,1.81592238 ETH,1709002287747432960,1709002287747432961,0.0
sell,1.0,0.001,ok,243,1.81492238 ETH,1709002293762064896,1709002293762064897,0.0026954177897096088
sell,1.0,0.001,ok,244,1.81392238 ETH,1709002299877360128,1709002299877360129,0.0026954177897096088
sell,0.983827493261515,0.001,ok,245,1.81292238 ETH,1709002305959100928,1709002305959100929,-0.013477088948775418
sell,0.9865229110513384,0.001,ok,246,1.81192238 ETH,1709002311982121472,1709002311982121473,-0.010781671158952011
buy,0.6981132075471805,5.0,ok,247,1.81332126 ETH,1709002316000264704,1709002316000264705,0.0
sell,0.9865229110513384,0.001,ok,248,1.81232126 ETH,1709002321998119424,1709002321998119425,0.28840970350415784
buy,0.9865229110513384,5.0,ok,249,1.81372014 ETH,1709002325982708224,1709002325982708225,0.0
sell,0.9865229110513384,0.001,ok,250,1.81272014 ETH,1709002331997340160,1709002331997340161,0.0
sell,0.2318059299192327,0.001,ok,251,1.81172014 ETH,1709002337961640448,1709002337961640449,-0.7547169811321057
sell,0.2318059299192327,0.001,ok,252,1.81072014 ETH,1709002388729496064,1709002388729496065,-0.7547169811321057
buy,0.2318059299192327,5.0,ok,253,1.81211902 ETH,1709002392764416512,1709002392764416513,0.0
sell,0.2371967654986519,0.001,ok,254,1.81111902 ETH,1709002398871323136,1709002398871323137,0.00539083557941919
buy,0.0,5.0,ok,255,1.81251790 ETH,1709002402973352448,1709002402973352449,0.0
buy,0.2371967654986519,5.0,ok,256,1.81391678 ETH,1709002407469646336,1709002407469646337,0.0
buy,0.2371967654986519,5.0,ok,257,1.81531566 ETH,1709002411471012352,1709002411471012353,0.0
buy,0.0026954177898232,5.0,ok,258,1.81671454 ETH,1709002415900197376,1709002415900197377,0.0
sell,0.0026954177898232,0.001,ok,259,1.81571454 ETH,1709002421956772352,1709002421956772353,0.0
buy,0.0026954177898232,5.0,ok,260,1.81711342 ETH,1709002425991692800,1709002425991692801,0.0
buy,0.0026954177898232,5.0,ok,261,1.81851230 ETH,1709002430060167680,1709002430060167681,0.0
buy,0.0,5.0,ok,262,1.81991118 ETH,1709002474662396416,1709002474662396417,0.0
buy,0.0,5.0,ok,263,1.82131006 ETH,1709002478688928256,1709002478688928257,0.0
sell,0.0053908355795329,0.001,ok,264,1.82031006 ETH,1709002484753891840,1709002484753891841,0.0053908355795329
buy,0.0053908355795329,5.0,ok,265,1.82170894 ETH,1709002488847532544,1709002488847532545,0.0
sell,0.0053908355795329,0.001,ok,266,1.82070894 ETH,1709002494920884736,1709002494920884737,0.0
buy,0.0053908355795329,5.0,ok,267,1.82210782 ETH,1709002498947416576,1709002498947416577,0.0
