type,price,qty,status,operation,balance,orderId,orderLinkId,profit_loss,prediction
sell,0.5202156334232768,0.001,ok,131,1.64968526 ETH,1708997713271718400,1708997713271718401,0.21293800539081081,0.39713675
sell,0.5202156334232768,0.001,ok,132,1.64868526 ETH,1708997717239529984,1708997717239529985,0.21293800539081081,0.39713675
sell,0.5202156334232768,0.001,ok,133,1.64768526 ETH,1708997721266061824,1708997721266061825,0.21293800539081081,0.39713675
sell,0.956873315363964,0.001,ok,134,1.64668526 ETH,1708997725225484800,1708997725225484801,0.6495956873314981,0.43046314
sell,0.962264150943497,0.001,ok,135,1.64568526 ETH,1708997729193296384,1708997729193296385,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,136,1.64468526 ETH,1708997733119164928,1708997733119164929,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,137,1.64368526 ETH,1708997737078587904,1708997737078587905,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,138,1.64268526 ETH,1708997741071565312,1708997741071565313,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,139,1.64168526 ETH,1708997744997433856,1708997744997433857,0.654986522911031,0.43074632
sell,0.9973045822102904,0.001,ok,140,1.64068526 ETH,1708997748965245440,1708997748965245441,0.6900269541778243,0.4325335
sell,0.9973045822102904,0.001,ok,141,1.63968526 ETH,1708997752941445632,1708997752941445633,0.6900269541778243,0.4325335
sell,0.9973045822102904,0.001,ok,142,1.63868526 ETH,1708997756867314176,1708997756867314177,0.6900269541778243,0.4325335
sell,1.0,0.001,ok,143,1.63768526 ETH,1708997760801571328,1708997760801571329,0.692722371967534,0.43266726
sell,1.0,0.001,ok,144,1.63668526 ETH,1708997764752605696,1708997764752605697,0.692722371967534,0.43266726
sell,0.983827493261515,0.001,ok,145,1.63568526 ETH,1708997768695251456,1708997768695251457,0.6765498652290489,0.43185687
sell,0.9865229110513384,0.001,ok,146,1.63468526 ETH,1708997772629508608,1708997772629508609,0.6792452830188724,0.4319933
sell,0.6981132075471805,0.001,ok,147,1.63368526 ETH,1708997776572154368,1708997776572154369,0.39083557951471454,0.41367662
sell,0.9865229110513384,0.001,ok,148,1.63268526 ETH,1708997780531577344,1708997780531577345,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,149,1.63168526 ETH,1708997784549720576,1708997784549720577,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,150,1.63068526 ETH,1708997788500754944,1708997788500754945,0.6792452830188724,0.4319933
buy,0.2318059299192327,5.0,ok,151,1.63208414 ETH,1708997792468566528,1708997792468566529,-0.07547169811323329,0.35671616
buy,0.2318059299192327,5.0,ok,152,1.63348302 ETH,1708997796419600896,1708997796419600897,0.0,0.35671616
buy,0.2318059299192327,5.0,ok,153,1.63488190 ETH,1708997800353858048,1708997800353858049,0.0,0.35671616
buy,0.2371967654986519,5.0,ok,154,1.63628078 ETH,1708997804288115200,1708997804288115201,0.00539083557941919,0.3576543
buy,0.0,5.0,ok,155,1.63767966 ETH,1708997808239149568,1708997808239149569,-0.2371967654986519,0.31092376
buy,0.2371967654986519,5.0,ok,156,1.63907854 ETH,1708997812156629504,1708997812156629505,0.2371967654986519,0.3576543
buy,0.2371967654986519,5.0,ok,157,1.64047742 ETH,1708997816116052480,1708997816124441088,0.0,0.3576543
buy,0.0026954177898232,5.0,ok,158,1.64187630 ETH,1708997820050309632,1708997820050309633,-0.2345013477088287,0.31149793
buy,0.0026954177898232,5.0,ok,159,1.64327518 ETH,1708997823976178176,1708997823976178177,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,160,1.64467406 ETH,1708997827943989760,1708997827943989761,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,161,1.64607294 ETH,1708997831936967168,1708997831936967169,0.0,0.31149793
buy,0.0,5.0,ok,162,1.64747182 ETH,1708997835854447104,1708997835854447105,-0.0026954177898232,0.31092376
buy,0.0,5.0,ok,163,1.64887070 ETH,1708997839830647296,1708997839830647297,0.0,0.31092376
buy,0.0053908355795329,5.0,ok,164,1.65026958 ETH,1708997843748127232,1708997843748127233,0.0053908355795329,0.3120717
buy,0.0053908355795329,5.0,ok,165,1.65166846 ETH,1708997847715938816,1708997847715938817,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,166,1.65306734 ETH,1708997851650195968,1708997851650195969,0.0,0.3120717
buy,0.0053908355795329,5.0,ok,167,1.65446622 ETH,1708997855727059456,1708997855727059457,0.0,0.3120717
buy,0.1590296495957091,5.0,ok,168,1.65586510 ETH,1708997859652928000,1708997859652928001,0.15363881401617618,0.34339187
buy,0.307277628032466,5.0,ok,169,1.65726398 ETH,1708997863620739584,1708997863620739585,0.1482479784367569,0.36920345
buy,0.1590296495957091,5.0,ok,170,1.65866286 ETH,1708997867722768896,1708997867722768897,-0.1482479784367569,0.34339187
buy,0.1590296495957091,5.0,ok,171,1.66006174 ETH,1708997871682191872,1708997871682191873,0.0,0.34339187
buy,0.3045822102426427,5.0,ok,172,1.66146062 ETH,1708997875616449024,1708997875616449025,0.14555256064693362,0.3687817
sell,0.3962264150944747,0.001,ok,173,1.66046062 ETH,1708997880607670784,1708997880607670785,0.091644204851832,0.38212785
buy,0.3045822102426427,5.0,ok,174,1.66185950 ETH,1708997884550316544,1708997884550316545,0.0,0.3687817
buy,0.3045822102426427,5.0,ok,175,1.66325838 ETH,1708997888501350912,1708997888501350913,0.0,0.3687817
buy,0.307277628032466,5.0,ok,176,1.66465726 ETH,1708997892561437184,1708997892561437185,0.0026954177898232956,0.36920345
buy,0.3045822102426427,5.0,ok,177,1.66605614 ETH,1708997896529248768,1708997896529248769,-0.0026954177898232956,0.3687817
buy,0.307277628032466,5.0,ok,178,1.66745502 ETH,1708997900497060352,1708997900497060353,0.0026954177898232956,0.36920345
buy,0.307277628032466,5.0,ok,179,1.66885390 ETH,1708997904657809920,1708997904657809921,0.0,0.36920345
sell,0.5229110512129864,0.001,ok,180,1.66785390 ETH,1708997908625621504,1708997908625621505,0.21563342318052042,0.3974278
sell,0.5202156334232768,0.001,ok,181,1.66685390 ETH,1708997912551490048,1708997912551490049,0.21293800539081081,0.39713675
sell,0.5202156334232768,0.001,ok,182,1.66585390 ETH,1708997916477358592,1708997916477358593,0.21293800539081081,0.39713675
sell,0.5202156334232768,0.001,ok,183,1.66485390 ETH,1708997920453558784,1708997920453558785,0.21293800539081081,0.39713675
sell,0.956873315363964,0.001,ok,184,1.66385390 ETH,1708997924412981760,1708997924412981761,0.6495956873314981,0.43046314
sell,0.962264150943497,0.001,ok,185,1.66285390 ETH,1708997928364016128,1708997928364016129,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,186,1.66185390 ETH,1708997932289884672,1708997932289884673,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,187,1.66085390 ETH,1708997936232530432,1708997936232530433,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,188,1.65985390 ETH,1708997940166787584,1708997940166787585,0.654986522911031,0.43074632
sell,0.962264150943497,0.001,ok,189,1.65885390 ETH,1708997944126210560,1708997944126210561,0.654986522911031,0.43074632
sell,0.9973045822102904,0.001,ok,190,1.65785390 ETH,1708997948085633536,1708997948085633537,0.6900269541778243,0.4325335
sell,0.9973045822102904,0.001,ok,191,1.65685390 ETH,1708997952053445120,1708997952053445121,0.6900269541778243,0.4325335
sell,0.9973045822102904,0.001,ok,192,1.65585390 ETH,1708997956004479488,1708997956004479489,0.6900269541778243,0.4325335
sell,1.0,0.001,ok,193,1.65485390 ETH,1708997959972291072,1708997959972291073,0.692722371967534,0.43266726
sell,1.0,0.001,ok,194,1.65385390 ETH,1708997963923325440,1708997963923325441,0.692722371967534,0.43266726
sell,0.983827493261515,0.001,ok,195,1.65285390 ETH,1708997967882748416,1708997967882748417,0.6765498652290489,0.43185687
sell,0.9865229110513384,0.001,ok,196,1.65185390 ETH,1708997971808616960,1708997971808616961,0.6792452830188724,0.4319933
sell,0.6981132075471805,0.001,ok,197,1.65085390 ETH,1708997975768039936,1708997975768039937,0.39083557951471454,0.41367662
sell,0.9865229110513384,0.001,ok,198,1.64985390 ETH,1708997979727462912,1708997979727462913,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,199,1.64885390 ETH,1708997983644942848,1708997983644942849,0.6792452830188724,0.4319933
sell,0.9865229110513384,0.001,ok,200,1.64785390 ETH,1708997987579200000,1708997987579200001,0.6792452830188724,0.4319933
buy,0.2318059299192327,5.0,ok,201,1.64925278 ETH,1708997991538622976,1708997991538622977,-0.07547169811323329,0.35671616
buy,0.2318059299192327,5.0,ok,202,1.65065166 ETH,1708997995506434560,1708997995506434561,0.0,0.35671616
buy,0.2318059299192327,5.0,ok,203,1.65205054 ETH,1708997999423914496,1708997999423914497,0.0,0.35671616
buy,0.2371967654986519,5.0,ok,204,1.65344942 ETH,1708998003442057728,1708998003442057729,0.00539083557941919,0.3576543
buy,0.0,5.0,ok,205,1.65484830 ETH,1708998007409869312,1708998007409869313,-0.2371967654986519,0.31092376
buy,0.2371967654986519,5.0,ok,206,1.65624718 ETH,1708998011327349248,1708998011327349249,0.2371967654986519,0.3576543
buy,0.2371967654986519,5.0,ok,207,1.65764606 ETH,1708998015353881088,1708998015353881089,0.0,0.3576543
buy,0.0026954177898232,5.0,ok,208,1.65904494 ETH,1708998019296526848,1708998019296526849,-0.2345013477088287,0.31149793
buy,0.0026954177898232,5.0,ok,209,1.66044382 ETH,1708998023247561216,1708998023247561217,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,210,1.66184270 ETH,1708998027190206976,1708998027190206977,0.0,0.31149793
buy,0.0026954177898232,5.0,ok,211,1.66324158 ETH,1708998031158018560,1708998031158018561,0.0,0.31149793
